Kitchen,School,Date,Menu,Projected_Kids,Actual_Meals_Served,Successful_Taps,F4E_Supported_Kids,Teachers,Staff_Meals,Failed_Taps,New_Registrations,New_Tags_Replaced,Rice_Remaining,B_W_G_Remaining,Missed_Food,Next_Day_Projection_Students,Next_Day_Projection_Teachers,Next_Day_Projection_Staff,Start_Taping,Stop_Taping,Projection_Comment,Comment_1,Comment_2,Comment_3,Comment_4,Reported_By
,Kiawaiguru Primary School,2026-02-05,Rice and Beans,235,229,211,18,0,2,0,1,1,2,2,,230,2,,"5 Feb 2026, 12:30:00","5 Feb 2026, 13:27:00",,Lunch was delicious.,Queue transtioned from class to class in an oderly manner.,Failed taps decreased from yesterday’s 1 to today  0 I reminded parents to top during break.,Actual meals served decreased from yesterday’s 233 to today 229.some pupils from ECDE were absent.,@ANN SC KIAWAIGURU PRIMARY SCHOOL
,Gitombo Primary School,2026-02-05,Tumeric rice and beans,180,173,158,15,0,2,2,0,1,2,2,,170,0,,"5 Feb 2026, 12:40:14","5 Feb 2026, 13:40:22",,Food was delicious learners enjoyed.,Queue was manageable by the help of teacher on duty.,Today failed tap was 2 an increase of 2 from 0 yesterday  parent didn't top up account on time.,Actual meals served today was 173 a decrease of 4 from 177 yesterday due so many learners were absent.,@Veronica Mwaura -S/C- Gitombo primary
,Gathiruini Primary School,2026-02-05,Turmeric rice and Beans,240,246,222,24,0,2,1,0,1,0,0,,245,0,,"5 Feb 2026, 12:30:02","5 Feb 2026, 13:30:09",,Lunch was delicious,Line management was good with help of teacher on duty,Failed tap was 1 a decrease from 6 this is because parents topped up their accounts on time,Actual meals served today were 246 an increase from 243 this is because turn out was good,@Catherine Wanjiru
,Gathugu Primary School,2026-02-05,Tumeric rice and beans,270,258,233,25,0,2,10,1,1,8,4,,265,0,,"5 Feb 2026, 12:45:14","5 Feb 2026, 13:30:20",,Food was delicious,Queue management was smooth and orderly,"Actual meals severed today were 258 compared to 273 of the previous tapping, most kids had their accounts on insufficient balance and some missed school","We had 10 failed taps, parents forgot to top up on time",@SC Gathugu Comprehensive School
,GATHAITHI PRIMARY,2026-02-05,Tumeric rice and Beans,470,478,425,53,0,3,7,2,1,00,0,,475,00,,"5 Feb 2026, 12:40:18","5 Feb 2026, 13:35:24",,Food was good,TOD assisted with queue management,The number of failed taps dropped from 21 to 7. Kids reminded their parents to top up accounts.,Actual meals served increased from 473 to 478.,@P.C.E.A Gathaithi primary and Junior secondary school Jane Wanjiru
,Catholic Archdiocese Of Nairobi Gataka Primary & Junior Secondary,2026-02-05,Rice and Beans,300,298,271,27,0,2,3,1,1,0,0,,300,0,,"5 Feb 2026, 12:40:29","5 Feb 2026, 13:45:34",,The food was delicious,The queue was well managed by the school coordinator,"The number of failed taps dropped from 5 to 3, we reminded kids to request their parents to top up","The number of actual meals dropped from 308 to 298, some parents failed to make timely payments for their kids",@Catholic archdiocese of Nairobi Gataka primary school and Junior secondary
,Ngewa Primary School,2026-02-05,Rice and beans,320,302,265,37,0,2,19,0,1,5,5,,310,0,,"5 Feb 2026, 12:00:44","5 Feb 2026, 13:30:47",,The food was delicious,Queue was transitioning well from class to class,We had 19 failed taps today which is a decrease from 20 yesterday,We had 302 actual meals served today which is a decrease from 347 yesterday,@Ngewa primary school.
,Njunu Primary School,2026-02-05,Tumeric rice and beans,265,263,232,31,0,2,2,0,0,0,0,,265,0,,"5 Feb 2026, 12:40:47","5 Feb 2026, 13:20:11",,Food was delicious and yummy,Line transition was well maintained,We had an increase with 1,We had a decrease with 8 some students were absent,@Sc Elizabeth -Njunu primary school
,Miiri Primary,2026-02-05,White Rice and Beans,440,463,412,51,0,3,17,0,2,0,0,,460,0,,"5 Feb 2026, 12:30:57","5 Feb 2026, 13:40:26",,The food was hot and delicious.,The queue was well organized and managed by the teacher on duty and prefects.,"Failed taps dropped to 17 from 33,as parents didn't top up on time.","Actual meals served rose to 463 from 450 ,as parents had topped up on time and an increase in student turnout today.",@SC Daniel Ng'ang'a - Miiri Primary School
,Nyaga Primary School,2026-02-05,Turmeric Rice and Beans,530,541,477,64,0,3,17,2,1,0,0,,510,0,,"5 Feb 2026, 12:40:02","5 Feb 2026, 13:40:06",,The food was delicious and the kids enjoyed the mangoes,The line was well managed,The number of failed taps increased from 11 to 17.Some accounts had not been topped up.,The number of actual meals served increased from 532 to 541.The kids were excited for the mangoes.,@SL Nyaga Primary and Junior School-Gladys
,Nyaga Secondary School,2026-02-05,Turmeric Rice and beans,390,399,399,0,0,3,32,0,3,0,0,,400,0,,"5 Feb 2026, 12:40:25","5 Feb 2026, 13:15:38",,The food was delicious,I managed the line,"Had an increase from 21 to 32,,, accounts had no funds","Had an increase from 385 to 399,,13 more students turn up for lunch",@Hellen Tapper P.C.E.A Nyaga Senior School
,PCEA Mitahato Secondary School,2026-02-05,Rice and beans,45,45,45,0,0,2,2,0,0,0,0,,45,0,,"5 Feb 2026, 12:45:49","5 Feb 2026, 12:55:54",,Food was well prepared,I managed the line with ease,There were 2 failed taps than yesterday because parents forgot to top up,There was an increase of 2 compared to yesterday's because most students have their mealcards have active balances,"@minne,Tapper Mitahato Secondary"
