Kitchen,School,Date,Menu,Projected_Kids,Actual_Meals_Served,Successful_Taps,F4E_Supported_Kids,Teachers,Staff_Meals,Failed_Taps,New_Registrations,New_Tags_Replaced,Rice_Remaining,B_W_G_Remaining,Missed_Food,Next_Day_Projection_Students,Next_Day_Projection_Teachers,Next_Day_Projection_Staff,Start_Taping,Stop_Taping,Projection_Comment,Comment_1,Comment_2,Comment_3,Comment_4,Reported_By
,Mukuyu Secondary School,2026-01-13,Rice and GG,260,227,227,0,0,0,11,2,9,16,16,,300,0,,"13 Jan 2026, 12:40:22","13 Jan 2026, 13:20:35",,Food was delicious,Queue was well managed,Mukuyu secondary school actual failed taps increases from 7 to 11 because some parents didn't top up,Mukuyu secondary school we had 227 actual taps which increases compared with yesterday which was 212.Grade 10 are still joining F4E,@Mukuyu Secondary School
,Kanyore Primary School,2026-01-13,Rice and green grams,620,619,576,43,0,0,10,5,3,10,0,,630,5,,"13 Jan 2026, 12:40:00","13 Jan 2026, 13:25:00",,Food was delicious,Queue was well managed,The number of failed taps reduced from yesterday’s 15 to today’s 10 because more accounts were topped up.,The number of actual taps increased from yesterday’s 609 to today’s 619 because more kids were present,@Kanyore Comprehensive School
,William Ng'iru Secondary School,2026-01-13,White Rice and Green Grams,310,320,320,0,0,4,5,1,2,0,3,,500,0,,"13 Jan 2026, 12:40:52","13 Jan 2026, 13:05:01",,Food was delicious,Queue transitioned well with the help of Teachers on duty.,From 6 failed taps to 5 today . Decrease in 1. As a result of parents topping up students accounts in time.,From 291 successful taps to 320 successful taps recorded today. An increase of 29. As a result of students high turn out for lunch.,"@Rose, Giathieko Comprehensive SC"
,Kihuririo Primary School,2026-01-13,Rice and GG,460,403,363,40,0,3,6,4,4,17,14,,430,0,,"13 Jan 2026, 12:50:25","13 Jan 2026, 13:40:31",,The food was yummy,Line was okay,Failed taps decreased from 8 to 6 some parents paid,Successful taps decreased from 450 to 403 some students were sent home for textbooks and the food had already arrived.,@kihuririo primary
,Kiawairia Secondary School,2026-01-13,White rice and green grams,45,35,35,0,0,2,0,0,0,3,4,,50,0,,"13 Jan 2026, 13:20:16","13 Jan 2026, 13:30:29",,Food was delicious and appetizing,Line management was transitioning good,Number of failed taps remained 0 as of yesterday,Actual meals remained the same as of yesterday students haven't reported fully,@Patrick Kariuki Kiawairia secondary school Tapper
,Thuita Secondary School,2026-01-13,White rice and Green Grams,40,35,35,0,0,2,1,0,2,3,3,,40,0,,"13 Jan 2026, 13:10:54","13 Jan 2026, 13:22:04",,Food was delicious,Queue management was recommendable,Today only one parent forgot to top up hoping tomorrow the parent will remember,Today the number increased from 31 to 35 that means some students reported back as expected,@Thuita Secondary tapper
,Githima Primary,2026-01-13,White rice and greengrams,260,260,235,25,2,2,3,2,0,0,0,,260,4,,"13 Jan 2026, 12:30:42","13 Jan 2026, 13:30:48",,The food was delicious,I managed the queue and kids were disciplined today.,We had 3 failed taps which is a decrease from yesterday's 4 failed taps.Most accounts were topped up today.,We had 260 actual meals served which is an increase from yesterday's 256 actual meals served.The turn out was high and accounts were topped up on time.,@Brenda kamawe Githima primary and junior secondary school
,Kanjai Secondary School,2026-01-13,White Rice and Green grams,150,141,141,0,0,2,2,0,0,02,2,,160,00,,"13 Jan 2026, 13:10:31","13 Jan 2026, 13:30:43",,The meal was delicious and sweet.,Queue management was orderly by me.,"Actual meal served today was 141 compared to yesterday with a decrease of 1, parents didn't top up their accounts.","We had 02 failed taps, students didn't remind their parents to fund their accounts.","@mercy, tapper, kanjai secondary"
,PCEA Kanjai Comprehensive School,2026-01-13,RICE & GREENGRAMS,410,412,362,50,0,3,19,4,3,0,0,,420,0,,"13 Jan 2026, 12:40:53","13 Jan 2026, 13:30:00",,Food was hot and delicious.Kids enjoyed the bananas.,Line management was organized.,Number of failed taps increased from 7 to 19 as some parents hadn't topped up. Reminded kids to remind their parents to top up.,Number of successful taps increased from 390 to 412 as more students reported back.,"@Haron Muiruri,SL Kanyore Primary"
,Mitahato Primary School,2026-01-13,Mitahato Comprehensive school,230,237,214,23,0,2,2,1,4,0,0,,240,0,,"13 Jan 2026, 12:10:16","13 Jan 2026, 13:20:29",,Food was mouth watering,Queue management was hassle-free,failed taps decreased from 10 to 2 because few parents failed to top on on time,Successful taps increased from 204 to 237 because more students came for lunch.,@SC George-Mitahato Comprehensive
,Miguta Secondary School,2026-01-13,Rice and GG,40,33,33,0,0,2,1,0,7,3,1,,40,0,,"13 Jan 2026, 13:10:04","13 Jan 2026, 13:40:22",,The food was delicious,Queue was orderly,There was 1 failed tap same with yesterday... parent didn't top up account on time,There were 33 successful taps compared to yesterday... parents topped up and also students came for lunch,"@Alex,Tapper Miguta Secondary"
,Gathangari Primary School,2026-01-13,White Rice and Green Grams,400,408,382,26,0,3,10,1,1,8,0,,410,0,,"13 Jan 2026, 12:20:40","13 Jan 2026, 13:38:51",,The food was delicious,The queue was well managed by the teacher,There was a decrease in number because most parents remembered to top up their accounts.,There was an increase in number because most accounts were topped up on time.,@PCEA GATHANGARI COMPREHENSIVE SCHOOL
,PCEA Matuguta Secondary School,2026-01-13,White Rice and Green grams,115,100,100,0,0,2,1,3,7,4.5,5.2,,110,00,,"13 Jan 2026, 13:50:27","13 Jan 2026, 13:48:37",,Food was hot and delicious,Queues were orderly and well managed by the help of the tod,Failed taps today were 01 lower compared to yesterday's 06,Successful taps today were 100 lower than the projected meals that were 115 but higher than yesterday's 95,@Njeri -Matuguta secondary school
,Gatina Primary School,2026-01-13,White rice and greengrams,450,442,384,58,0,3,7,2,1,0,0,,450,0,,"13 Jan 2026, 12:36:18","13 Jan 2026, 13:30:23",,food was hot and yummy,line was smooth and orderly,"failed taps were 7 similar with yesterday's number,more accounts maintained sufficient funds.","Actual meals served were 442 an increase compared to yesterday's number of 440, parents managed to credit accounts on time thus my actual meals number raises.",@Kang'ethe Dennis
,Gitombo Primary School,2026-01-13,White rice and Green grams,170,174,161,13,0,2,0,0,3,0,0,,175,0,,"13 Jan 2026, 12:40:52","13 Jan 2026, 13:14:59",,Food was delicious learners enjoyed.,Queue was well manageable.,Today failed tap was 0 a decrease of 2 from 2 yesterday  parents did the top up on time.,Actual meals served today was 174 an increase of 5 from 169 yesterday   more students reported well today.,@Veronica Mwaura -S/C- Gitombo primary
,Gathiruini Primary School,2026-01-13,Rice and Green grams,240,240,212,28,0,2,3,4,0,0,0,,245,0,,"13 Jan 2026, 12:30:55","13 Jan 2026, 13:30:06",,Lunch was delicious,Line management was good with help of teacher on duty,Failed taps today were 3 same as yesterday parents didn't top up their accounts on time,Actual meal served today were 240  an increase from 233 this is because most students were present today,@Catherine Wanjiru
,Gitiha Secondary School,2026-01-13,white rice and greengrams stew,130,121,121,0,0,2,5,2,10,2,3,,135,0,,"13 Jan 2026, 12:40:56","13 Jan 2026, 13:15:07",,the food was delicious and tasty,The queue was manageable by help of teacher on duty,The number of failed taps was not high,the number of successful taps had increased from the previous day,@Kang'ethe Dennis
